date,weekday,activity,feelings,mood,keywords
2025-11-01,Lördag,Långkok av höstgryta hela eftermiddagen,Hemtrevligt och gott,Positivt,"Mat, Matlagning, Höst"
2025-11-02,Söndag,Vaknade med feber och ont i halsen,Sänkt och ynklig,Negativt,"Sjukdom, Hälsa, Feber"
2025-11-03,Måndag,Sjukskriven och sov bort halva dagen,Utmattad,Negativt,"Sjukdom, Sömn, Vila"
2025-11-04,Tisdag,Började känna mig bättre åt soppa,På bättringsvägen,Positivt,"Sjukdom, Mat, Återhämtning"
2025-11-05,Onsdag,Tillbaka på jobbet till inkorgen från helvetet,Stressad direkt,Negativt,"Jobb, Stress, Vardag"
2025-11-06,Torsdag,Heldag med budgetmöten i konferensrum utan fönster,Dränerad och syrefattig,Negativt,"Möten, Jobb, Tristess"
2025-11-07,Fredag,Tacos och Idol med familjen,Klassisk fredagskänsla,Positivt,"Mat, Familj, Vardag"
2025-11-08,Lördag,Storhandlade på Maxi (kaos),Irriterad på folk som står i vägen,Negativt,"Vardag, Shopping, Stress"
2025-11-09,Söndag,Mealpreppade matlådor för hela veckan,Duktig och förberedd,Positivt,"Mat, Rutiner, Produktivitet"
2025-11-10,Måndag,Möte som kunde varit ett mail,Frustrerad över tidsslöseri,Negativt,"Möten, Ineffektivitet, Jobb"
2025-11-11,Tisdag,Åt en fantastisk lunch ute med en kollega,Glad och mätt,Positivt,"Mat, Socialt, Jobb"
2025-11-12,Onsdag,Vab med snorigt barn,Mysigt men lite rastlös,Positivt,"Sjukdom, Barn, Familj"
2025-11-13,Torsdag,Försökte jobba hemifrån med sjukt barn,Splittrad och stressad,Negativt,"Sjukdom, Jobb, Stress"
2025-11-14,Fredag,Brände vid middagen så brandlarmet gick,Uppgiven och hungrig,Negativt,"Mat, Misslyckande, Vardag"
2025-11-15,Lördag,Gick på finrestaurang och firade,Lyxig känsla,Positivt,"Mat, Fest, Relation"
2025-11-16,Söndag,Städade ur kylen och slängde gammal mat,Äcklad men nöjd efteråt,Negativt,"Städning, Mat, Vardag"
2025-11-17,Måndag,Måndagsmöte där tekniken strulade i 20 min,Teknikhat och irritation,Negativt,"Möten, Teknikstrul, Jobb"
2025-11-18,Tisdag,Hittade ett nytt favoritcafé,Inspirerad,Positivt,"Mat, Fika, Miljöombyte"
2025-11-19,Onsdag,Vanlig grå onsdag inget speciellt hände,Uttråkad,Negativt,"Vardag, Tristess, Rutiner"
2025-11-20,Torsdag,Började skissa på arkitekturen för AI-agenten,Entusiastisk och fokuserad,Positivt,"AI-agent, Arkitektur, Kodning"
2025-11-21,Fredag,Lång dag på jobbet med många möten,Trött och dränerad,Negativt,"Jobb, Möten, Stress"
2025-11-22,Lördag,Långpromenad i skogen och lyssnade på podcast,Lugn och harmonisk,Positivt,"Promenad, Natur, Podcast"
2025-11-23,Söndag,Felsökte Docker-containers hela förmiddagen,Frustrerad och irriterad,Negativt,"Docker, Felsökning, Teknikstrul"
2025-11-24,Måndag,Tog en vilodag och kollade på film,Avslappnad,Positivt,"Vila, Film, Återhämtning"
2025-11-25,Tisdag,Fick igenom en stor pull request på jobbet,Stolt och nöjd,Positivt,"Jobb, Kodning, Framgång"
2025-11-26,Onsdag,Glömde matlådan och åt dålig snabbmat,Seg och ofokuserad,Negativt,"Mat, Hälsa, Rutiner"
2025-11-27,Torsdag,Tungt pass på gymmet (ben),Fysiskt trött men mentalt pigg,Positivt,"Träning, Gym, Hälsa"
2025-11-28,Fredag,After work med kollegorna,Glad och social,Positivt,"AW, Socialt, Jobb"
2025-11-29,Lördag,Städade lägenheten och fixade hemma,Uttråkad men nöjd efteråt,Positivt,"Städning, Hem, Produktivitet"
2025-11-30,Söndag,Kodade på hobbyprojektet sent in på natten,Inspirerad men sömnig,Positivt,"Kodning, Hobbyprojekt, Sömn"
2025-12-01,Måndag,Första advent-fika hos föräldrarna,Mysigt och familjärt,Positivt,"Familj, Fika, Högtid"
2025-12-02,Tisdag,Svårt att sova pga stress inför deadline,Orolig och stressad,Negativt,"Sömn, Stress, Deadline"
2025-12-03,Onsdag,Presentation för ledningsgruppen gick bra,Lättad och glad,Positivt,"Presentation, Jobb, Karriär"
2025-12-04,Torsdag,Hemma med lätt förkylning,Hängig och låg,Negativt,"Sjukdom, Hälsa"
2025-12-05,Fredag,Fortfarande sjuk men bingade en serie,Uttråkad,Negativt,"Sjukdom, TV-serie"
2025-12-06,Lördag,Friskare igen tog en kort promenad,Piggare,Positivt,"Hälsa, Promenad"
2025-12-07,Söndag,Söndagsångest inför veckan,Lite nedstämd,Negativt,"Ångest, Jobb, Söndag"
2025-12-08,Måndag,Effektiv dag fick mycket gjort,Produktiv och stark,Positivt,"Produktivitet, Jobb"
2025-12-09,Tisdag,Konfigurerade Ollama lokalt för första gången,Nyfiken och exalterad,Positivt,"Ollama, AI, Teknik"
2025-12-10,Onsdag,Regnigt och mörkt hela dagen,Melankolisk,Negativt,"Väder, Vinter"
2025-12-11,Torsdag,Lunchträning med kompis,Energifylld,Positivt,"Träning, Vänner, Socialt"
2025-12-12,Fredag,Julbord med jobbet,Mätt och belåten,Positivt,"Julbord, Jobb, Mat"
2025-12-13,Lördag,Sovmorgon och långfrukost,Utsövd,Positivt,"Sömn, Frukost, Helg"
2025-12-14,Söndag,Julhandlade i stan (kaos),Stressad och varm,Negativt,"Shopping, Stress, Jul"
2025-12-15,Måndag,Installerade LanceDB och testade vektorer,Nördigt glad,Positivt,"LanceDB, Databas, Kodning"
2025-12-16,Tisdag,Grälade med en vän om struntsaker,Arg och ledsen,Negativt,"Konflikt, Vänner, Relationer"
2025-12-17,Onsdag,Löste problemet med vännen,Lättad,Positivt,"Lösning, Vänner, Relationer"
2025-12-18,Torsdag,Sista rycket på jobbet innan ledighet,Fokuserad stress,Negativt,"Jobb, Stress, Deadline"
2025-12-19,Fredag,Gick på semester!,Euforisk och fri,Positivt,"Semester, Frihet"
2025-12-20,Lördag,Spelade datorspel halva dagen,Avkopplad,Positivt,"Spel, Gaming, Avkoppling"
2025-12-21,Söndag,Lagas mat inför jul,Kreativ,Positivt,"Matlagning, Jul, Förberedelser"
2025-12-22,Måndag,Träffade gamla vänner från studietiden,Nostalgisk och glad,Positivt,"Vänner, Nostalgi, Socialt"
2025-12-23,Tisdag,Uppesittarkväll,Förväntansfull,Positivt,"Jul, Traditioner, Mys"
2025-12-24,Onsdag,Julafton med släkten,Glad men trött på slutet,Positivt,"Jul, Släkt, Firande"
2025-12-25,Torsdag,Åt rester och gjorde ingenting,Lat och nöjd,Positivt,"Vila, Mat, Jul"
2025-12-26,Fredag,Mellandagsrea (vände i dörren),Irriterad på folk,Negativt,"Shopping, Trängsel"
2025-12-27,Lördag,Kodade integration mot Gemini API,Fascinerad,Positivt,"Gemini, API, Kodning"
